iter	Logloss
0	0.6798122681
1	0.6670897461
2	0.6556258196
3	0.6441388218
4	0.6326068733
5	0.6210073274
6	0.6102560181
7	0.6004190014
8	0.5897896412
9	0.5801919771
10	0.5700917722
11	0.5613210958
12	0.551911499
13	0.5431576117
14	0.5343179057
15	0.5262225792
16	0.5181561191
17	0.5101121937
18	0.5025206571
19	0.4946606382
20	0.4876634571
21	0.4796333272
22	0.4730775162
23	0.4655454187
24	0.4590657475
25	0.4522343887
26	0.4460125846
27	0.4399924975
28	0.434280757
29	0.4289521168
30	0.4233455663
31	0.4176470288
32	0.4117382943
33	0.40644242
34	0.4017284241
35	0.3965267434
36	0.3923438519
37	0.3879550112
38	0.3834877456
39	0.3787008251
40	0.3738355099
41	0.3701883947
42	0.3662288298
43	0.3622202492
44	0.3582664701
45	0.3541900676
46	0.3505980224
47	0.3469189113
48	0.3437375832
49	0.340103311
50	0.3370181504
51	0.333958726
52	0.3308117546
53	0.3279129034
54	0.3247223829
55	0.3222334685
56	0.3190921064
57	0.3164771513
58	0.3140800955
59	0.3114693112
60	0.3087747657
61	0.3060717466
62	0.3036917804
63	0.3014409355
64	0.299148956
65	0.2969871215
66	0.2947598526
67	0.2927033091
68	0.2906679168
69	0.288794983
70	0.2867555581
71	0.284605833
72	0.2826154865
73	0.2810012983
74	0.2792350855
75	0.2776313562
76	0.276040174
77	0.2745920799
78	0.2730371371
79	0.271447672
80	0.2698069047
81	0.268562302
82	0.2666567085
83	0.2653901547
84	0.2641278517
85	0.2627553731
86	0.2614661526
87	0.2600882367
88	0.2586174849
89	0.2575489614
90	0.2566748974
91	0.2553771657
92	0.2544039647
93	0.2533848405
94	0.2522479347
95	0.2511392317
96	0.2498739375
97	0.2490505828
98	0.2481038325
99	0.2472794495
100	0.2464570472
101	0.245627945
102	0.2445546201
103	0.2437323035
104	0.2429639343
105	0.2421264585
106	0.2411568698
107	0.2403737891
108	0.2393968185
109	0.2385853189
110	0.2376840272
111	0.2368089368
112	0.2361127895
113	0.2354788241
114	0.234549363
115	0.2338886164
116	0.2331228709
117	0.2323471297
118	0.2317350092
119	0.2309834563
120	0.2306115993
121	0.2300142821
122	0.2293359033
123	0.2287248048
124	0.2281696624
125	0.2274846946
126	0.2268602128
127	0.2263973749
128	0.2258016258
129	0.225199881
130	0.2246847129
131	0.2242884527
132	0.223773668
133	0.223397156
134	0.2228595949
135	0.2226053826
136	0.2220893741
137	0.221757004
138	0.2212618787
139	0.2209269013
140	0.2203830966
141	0.2200014771
142	0.2196432195
143	0.2191682527
144	0.2188372594
145	0.218359993
146	0.2179794562
147	0.2175662341
148	0.2171670034
149	0.2168212834
150	0.216390433
151	0.2160009103
152	0.2156515091
153	0.2152515943
154	0.2148844067
155	0.2145344256
156	0.2140913769
157	0.2138730668
158	0.2135453309
159	0.2132003602
160	0.21277931
161	0.2124796461
162	0.212102948
163	0.2116984892
164	0.2114852563
165	0.2112827744
166	0.210966897
167	0.2106918133
168	0.2104368858
169	0.2101557014
170	0.2099064945
171	0.2096371076
172	0.2093858403
173	0.2091811132
174	0.2088719457
175	0.2086156801
176	0.2083558511
177	0.2080017868
178	0.2078070859
179	0.2075245339
180	0.2073267105
181	0.20711998
182	0.206938209
183	0.2067470723
184	0.2065599871
185	0.2063616206
186	0.206082729
187	0.2058087873
188	0.2055283171
189	0.2052966752
190	0.2051193089
191	0.2049107799
192	0.2047447574
193	0.204594622
194	0.204392136
195	0.2042668172
196	0.2040809268
197	0.203962289
198	0.2037543813
199	0.2035949779
200	0.2034110335
201	0.2032465472
202	0.2030557651
203	0.2028987625
204	0.2027640418
205	0.2025886609
206	0.2024568818
207	0.202278709
208	0.202092467
209	0.2019113458
210	0.2017673571
211	0.2016366736
212	0.2014664943
213	0.2013635768
214	0.2012230146
215	0.2011031518
216	0.2009832006
217	0.2008625771
218	0.2007148628
219	0.2005975079
220	0.2003948096
221	0.2002497739
222	0.200081203
223	0.1999476062
224	0.1997541758
225	0.1995636199
226	0.1994981547
227	0.199334189
228	0.1992283074
229	0.1990954855
230	0.1989998025
231	0.1988901741
232	0.1987601689
233	0.1986644156
234	0.198548166
235	0.1984205381
236	0.198309647
237	0.1981918603
238	0.19807576
239	0.1979793541
240	0.1979278042
241	0.1978122555
