iter	Passed	Remaining
402	13007	103184
403	13031	103092
404	13061	103037
405	13087	102956
406	13116	102899
407	13142	102819
408	13169	102744
409	13195	102663
410	13220	102577
411	13253	102551
412	13279	102474
413	13316	102482
414	13350	102462
415	13379	102402
416	13414	102395
417	13448	102373
418	13477	102318
419	13513	102320
420	13547	102298
421	13574	102224
422	13614	102252
423	13650	102250
424	13679	102191
425	13710	102154
426	13739	102098
427	13770	102057
428	13805	102046
429	13829	101953
430	13862	101927
431	13892	101881
432	13916	101786
433	13945	101734
434	13973	101667
435	14010	101673
436	14043	101646
437	14068	101565
438	14102	101543
439	14124	101442
440	14158	101419
441	14183	101341
442	14216	101312
443	14251	101304
444	14276	101220
445	14311	101210
446	14351	101230
447	14372	101118
448	14409	101121
449	14442	101094
450	14465	101003
451	14502	101006
452	14530	100944
453	14564	100924
454	14598	100907
455	14628	100860
456	14660	100824
457	14694	100807
458	14718	100722
459	14751	100693
460	14783	100659
461	14812	100611
462	14848	100602
463	14877	100551
464	14906	100500
465	14934	100440
466	14959	100361
467	14995	100353
468	15028	100325
469	15056	100272
470	15095	100280
471	15119	100200
472	15152	100175
473	15188	100164
474	15218	100119
475	15253	100109
476	15291	100118
477	15322	100074
478	15354	100041
479	15388	100023
480	15413	99944
481	15449	99943
482	15487	99950
483	15520	99923
484	15555	99907
485	15591	99901
486	15633	99934
487	15659	99860
488	15697	99866
489	15736	99877
490	15766	99833
491	15803	99828
492	15839	99826
493	15881	99853
494	15914	99829
495	15949	99811
496	15986	99810
497	16028	99841
498	16063	99822
499	16100	99824
500	16136	99815
501	16172	99806
502	16201	99751
503	16236	99737
504	16279	99772
505	16304	99694
506	16336	99659
507	16361	99585
508	16384	99497
509	16413	99445
510	16438	99370
511	16465	99306
512	16494	99257
513	16530	99246
514	16554	99168
515	16588	99144
516	16623	99130
517	16648	99057
518	16683	99042
519	16718	99026
520	16757	99031
521	16786	98982
522	16816	98938
523	16841	98864
524	16882	98883
525	16923	98902
526	16952	98852
527	16977	98775
528	17006	98726
529	17033	98668
530	17059	98596
531	17083	98521
532	17118	98504
533	17143	98432
534	17179	98422
535	17215	98413
536	17238	98325
537	17275	98320
538	17310	98307
539	17338	98249
540	17372	98228
541	17405	98200
542	17432	98141
543	17468	98132
544	17498	98090
545	17526	98033
546	17560	98012
547	17585	97938
548	17615	97897
549	17643	97839
550	17675	97806
551	17712	97802
552	17737	97733
553	17764	97674
554	17795	97634
555	17834	97641
556	17870	97627
557	17910	97641
558	17948	97638
559	17983	97623
560	18013	97581
561	18038	97512
562	18066	97457
563	18097	97416
564	18124	97361
565	18156	97325
566	18185	97277
567	18215	97232
568	18247	97203
569	18286	97208
570	18314	97153
571	18341	97092
572	18367	97029
573	18395	96977
574	18428	96951
575	18460	96919
576	18492	96883
577	18521	96835
578	18552	96798
579	18599	96846
580	18628	96797
581	18651	96718
582	18674	96638
583	18705	96604
584	18733	96547
585	18762	96504
586	18794	96468
587	18822	96415
588	18854	96387
589	18884	96344
590	18918	96319
591	18958	96330
592	18996	96327
593	19027	96289
594	19058	96254
595	19098	96263
596	19139	96275
597	19165	96212
598	19193	96161
599	19223	96115
600	19252	96071
601	19291	96070
602	19318	96013
603	19346	95963
604	19380	95940
605	19408	95891
606	19444	95878
607	19472	95825
608	19501	95776
609	19533	95745
610	19558	95678
611	19592	95655
612	19618	95596
613	19649	95557
614	19682	95532
615	19707	95464
616	19741	95443
617	19771	95400
618	19798	95345
619	19825	95289
620	19847	95211
621	19871	95142
622	19898	95083
623	19925	95026
624	19949	94961
625	19972	94885
626	19998	94827
627	20034	94812
628	20056	94734
629	20088	94704
630	20117	94656
631	20147	94617
632	20184	94608
633	20210	94548
634	20239	94502
635	20272	94475
636	20297	94413
637	20323	94353
638	20347	94286
639	20382	94267
640	20409	94213
641	20439	94175
642	20470	94140
643	20495	94075
644	20533	94070
645	20569	94060
646	20597	94011
647	20633	93998
648	20662	93952
649	20691	93905
650	20724	93880
651	20746	93803
652	20777	93771
653	20809	93736
654	20837	93687
655	20870	93663
656	20900	93620
657	20930	93581
658	20960	93541
659	20987	93491
660	21022	93470
661	21049	93417
662	21081	93388
663	21115	93364
664	21142	93313
665	21176	93292
666	21204	93242
667	21231	93187
668	21258	93136
669	21287	93092
670	21318	93056
671	21350	93026
672	21379	92982
673	21415	92970
674	21441	92912
675	21475	92891
676	21504	92848
677	21533	92803
678	21566	92775
679	21594	92730
680	21625	92695
681	21662	92685
682	21691	92643
683	21724	92616
684	21758	92593
685	21784	92538
686	21818	92515
687	21848	92476
688	21875	92423
689	21910	92404
690	21929	92321
691	21960	92285
692	21990	92245
693	22015	92183
694	22043	92137
695	22067	92075
696	22098	92039
697	22124	91983
698	22159	91965
699	22180	91889
700	22211	91854
701	22240	91811
702	22265	91755
703	22299	91731
704	22322	91666
705	22355	91639
706	22380	91577
707	22413	91553
